120.0,210.0
156.0,206.0
159.0,221.0
167.0,234.0
179.0,244.0
194.0,247.0
209.0,246.0
223.0,240.0
231.0,227.0
233.0,212.0
224.0,199.0
210.0,193.0
195.0,188.0
180.0,184.0
166.0,178.0
152.0,171.0
140.0,161.0
132.0,148.0
127.0,133.0
126.0,118.0
128.0,103.0
134.0,89.0
144.0,77.0
157.0,68.0
171.0,62.0
186.0,60.0
201.0,60.0
216.0,62.0
231.0,66.0
244.0,75.0
254.0,87.0
261.0,101.0
264.0,116.0
228.0,127.0
224.0,112.0
214.0,100.0
199.0,96.0
184.0,97.0
170.0,103.0
162.0,116.0
168.0,130.0
181.0,138.0
196.0,143.0
211.0,147.0
226.0,152.0
240.0,159.0
253.0,168.0
262.0,181.0
268.0,195.0
270.0,210.0
270.0,225.0
267.0,240.0
261.0,254.0
251.0,266.0
239.0,276.0
224.0,281.0
209.0,284.0
193.0,284.0
178.0,283.0
163.0,279.0
149.0,272.0
138.0,261.0
130.0,248.0
124.0,234.0
189.0,169.0
245.0,105.0
193.0,82.0
169.0,78.0
252.0,206.0
208.0,81.0
159.0,156.0
219.0,179.0
153.0,142.0
204.0,263.0
250.0,227.0
163.0,256.0
242.0,181.0
138.0,221.0
144.0,104.0
233.0,259.0
228.0,91.0
157.0,94.0
151.0,239.0
177.0,157.0
186.0,268.0
246.0,120.0
148.0,127.0
210.0,165.0
